[🔔 Mar-21-2022 11:50:18] error 	undefined
[🔔 Mar-21-2022 11:51:40] error 	function status(code) {
  this.statusCode = code;
  return this;
}
[🔔 Mar-21-2022 11:52:25] error 	[object Object]
[🔔 Mar-21-2022 11:52:55] error 	[object Object]
[🔔 Mar-21-2022 11:53:25] error 	undefined
[🔔 Mar-21-2022 11:53:47] error 	ORA-01722: invalid number
[🔔 Mar-21-2022 11:59:41] error 	ORA-01722: invalid number
[🔔 Mar-21-2022 12:00:12] error 	ORA-01722: invalid number
[🔔 Mar-21-2022 12:02:25] error 	ORA-01722: invalid number
[🔔 Mar-21-2022 12:02:54] error 	ORA-01722: invalid number
[🔔 Mar-21-2022 12:02:54] error 	adsdsa
[🔔 Mar-21-2022 12:03:46] error 	ORA-01722: invalid number
[🔔 Mar-21-2022 12:03:46] error 	Parametro de eliminacion: adsdsa
[🔔 Mar-21-2022 15:09:23] error 	ORA-01017: invalid username/password; logon denied
[🔔 Mar-22-2022 09:59:51] error 	Error en al conexion a la base de datos undefined undefined undefined ReferenceError: connectionString is not defined
[🔔 Mar-22-2022 09:59:51] error 	Error en al conexion a la base de datos undefined undefined undefined ReferenceError: connectionString is not defined
[🔔 Mar-22-2022 11:15:33] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:15:33] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:16:51] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:16:51] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:17:33] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:17:33] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:18:36] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
[🔔 Mar-22-2022 11:18:36] error 	Error en al conexion a la base de datos undefined undefined undefined Error: ORA-12560: TNS:protocol adapter error
